down_at,press_duration_ms,preceding_age_ms,next_sample_ms,previous_raw,next_raw,offline_interpolated_click_raw,max_raw_during_press,path_to_next_sample_counts,net_to_next_sample_counts,bounded_slope_next_raw,first_floor_ms
2402992.7449471,939.3846001476049,13.225500006228685,2.772000152617693,367,379,376.92067501165064,624,0.0,0.0,379.0,352.4310998618603
2402994.1103799,904.0124001912773,11.238900013267994,6.751399952918291,365,380,374.3707998485785,627,0.0,0.0,379.0,22.72489992901683
2402995.4463163,948.0534000322223,9.205900132656097,6.797799840569496,370,380,375.75235735989656,610,0.0,0.0,389.5959441017082,24.782999884337187
2402996.7984709,981.8460000678897,7.359600160270929,8.644199930131435,352,382,365.79597367881,618,0.0,0.0,379.0,26.634800247848034
2402998.208359,862.8254001960158,13.25659966096282,2.759000286459923,362,379,376.07141755389773,609,0.0,0.0,379.0,20.74340032413602
2402999.5343159,930.7865998707712,3.7265000864863396,12.30530021712184,375,397,380.1137738962634,612,0.0,0.0,384.18410483539617,27.900000102818012
2403000.8300369,1004.2805001139641,14.341299887746572,3.2327999360859394,361,381,377.3209496150672,624,0.0,0.0,379.0,18.271199893206358
2403002.1748955,879.3039000593126,23.377900011837482,3.2721003517508507,348,381,376.9482435221536,613,0.0,0.0,379.0,20.811600144952536
2403003.4087362,855.9737000614405,13.243800029158592,4.753800109028816,355,381,374.1324842264666,613,0.0,0.0,379.0,20.73739981278777
2403004.5541642,853.0476000159979,5.83200016990304,10.221699718385935,371,405,383.35154557245414,615,0.0,0.0,396.7898153642337,27.792199980467558
2403005.7194117,898.0223000980914,1.21749984100461,14.77780006825924,380,418,382.8924117847506,625,0.0,0.0,402.2429087752857,30.767899937927723
2403006.9233174,902.131300419569,3.1493999995291233,12.841599993407726,377,417,384.8779313386785,614,0.0,0.0,406.1111236352101,30.975700356066227
2403008.1473985,921.9818999990821,7.231499999761581,8.774000220000744,361,381,370.0362686582362,615,0.0,0.0,379.0,24.76540021598339
2403009.3874784,869.9524998664856,11.3001000136137,6.684300024062395,365,382,375.68157402131806,625,0.0,0.0,381.0167830887714,22.695899941027164
2403010.5834918,827.571399975568,5.3206998854875565,12.69409991800785,371,422,386.0629314297023,626,0.0,0.0,393.0717249810026,12.69409991800785
2403011.7291226,81.98089990764856,13.269499875605106,4.7426000237464905,348,380,371.57437491420137,514,0.0,0.0,379.0,20.725300069898367
2403011.9391173,93.98930007591844,5.281999707221985,10.73050033301115,361,468,396.295798111019,555,0.0,0.0,398.4125168023945,10.73050033301115
2403012.1431182,87.91740005835891,9.27109969779849,6.736500188708305,338,383,364.0625883554598,538,0.0,0.0,379.0,22.719299886375666
